,00_type_model,0_auc,0_precision,0_recall,1_normalisation,1_SMOT,1_fold,2_solver,3_activation,3_hiddenlayer,3_alpha,4_beta1ADAM,4_beta2ADAM,4_epsilonADAM
0,MLP_Classifier,0.4749,0.0608,0.5638,YES,YES,1,lbfgs,logistic,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,2,lbfgs,logistic,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.496,0.0589,0.6235,YES,YES,2,lbfgs,logistic,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,3,lbfgs,logistic,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5209,0.0656,0.6591,YES,YES,3,lbfgs,logistic,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,4,lbfgs,logistic,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5045,0.0746,0.6476,YES,YES,4,lbfgs,logistic,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,1,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4752,0.0609,0.5638,YES,YES,1,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,2,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4916,0.0581,0.6118,YES,YES,2,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,3,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5114,0.064,0.5909,YES,YES,3,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,4,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5002,0.0737,0.6095,YES,YES,4,lbfgs,logistic,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,1,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4752,0.0609,0.5638,YES,YES,1,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,2,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4912,0.058,0.6118,YES,YES,2,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,3,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5205,0.0655,0.6591,YES,YES,3,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,4,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4998,0.0736,0.6095,YES,YES,4,lbfgs,logistic,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,1,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4749,0.0608,0.5638,YES,YES,1,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,2,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.479,0.0556,0.5412,YES,YES,2,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,3,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5209,0.0656,0.6591,YES,YES,3,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,4,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4987,0.0734,0.6095,YES,YES,4,lbfgs,logistic,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,1,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4756,0.061,0.5638,YES,YES,1,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,2,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5373,0.0664,0.6824,YES,YES,2,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,3,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5107,0.0639,0.5909,YES,YES,3,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,4,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.506,0.075,0.6476,YES,YES,4,lbfgs,logistic,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4797,0.0618,0.5638,YES,YES,1,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5092,0.0614,0.6,YES,YES,2,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5378,0.0689,0.6818,YES,YES,3,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5024,0.0742,0.6381,YES,YES,4,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.4801,0.0618,0.5638,YES,YES,1,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.4858,0.0572,0.6353,YES,YES,2,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5396,0.0687,0.7273,YES,YES,3,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.4962,0.0728,0.6,YES,YES,4,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.48,0.0621,0.6064,YES,YES,1,adam,relu,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5144,0.0624,0.6,YES,YES,2,adam,relu,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5378,0.0689,0.6818,YES,YES,3,adam,relu,10,0.1,0.5,0.555,1e-05
