,00_type_model,0_auc,0_precision,0_recall,1_normalisation,1_SMOT,1_fold,2_solver,3_activation,3_hiddenlayer,3_alpha,4_beta1ADAM,4_beta2ADAM,4_epsilonADAM
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5322,0.0616,0.675,YES,YES,1,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.4779,0.0596,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.4966,0.0695,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5149,0.0784,0.6355,YES,YES,3,adam,identity,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5156,0.0737,0.61,YES,YES,4,adam,identity,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.512,0.0781,0.5607,YES,YES,3,adam,identity,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.4826,0.0605,0.4891,YES,YES,2,adam,identity,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5149,0.0784,0.6355,YES,YES,3,adam,identity,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.512,0.0781,0.5607,YES,YES,3,adam,identity,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5156,0.0737,0.61,YES,YES,4,adam,identity,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5156,0.0737,0.61,YES,YES,4,adam,identity,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.4826,0.0605,0.4891,YES,YES,2,adam,identity,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5149,0.0784,0.6355,YES,YES,3,adam,identity,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5156,0.0737,0.61,YES,YES,4,adam,identity,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.4826,0.0605,0.4891,YES,YES,2,adam,identity,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5156,0.0737,0.61,YES,YES,4,adam,identity,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5145,0.0783,0.6355,YES,YES,3,adam,identity,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5156,0.0737,0.61,YES,YES,4,adam,identity,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.512,0.0781,0.5607,YES,YES,3,adam,identity,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,50,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.4826,0.0605,0.4891,YES,YES,2,adam,identity,50,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.512,0.0781,0.5607,YES,YES,3,adam,identity,50,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5178,0.0745,0.57,YES,YES,4,adam,identity,50,0.1,0.9,0.555,1e-05
